ANO4,TRIMESTRE,IPC,DEFLACTOR
2016,2,100,1
2016,3,100,1
2016,4,100,1
2017,1,103.707466666667,1.03707466666667
2017,2,110.240233333333,1.10240233333333
2017,3,114.741733333333,1.14741733333333
2017,4,119.9581,1.199581
2018,1,127.464966666667,1.27464966666667
2018,2,137.5316,1.375316
2018,3,153.9385,1.539385
2018,4,176.150033333333,1.76150033333333
2019,1,195.962633333333,1.95962633333333
2019,2,218.759366666667,2.18759366666667
2019,3,240.9294,2.409294
2019,4,273.770233333333,2.73770233333333
